Datetime,Longitude,Latitude,Pressure,Temperature
2019-06-02 12:51:51 CEST,-4.463038333,48.330693333,16.185,30.96835
2019-06-02 12:52:29 CEST,0,0,16.191,30.96835
2019-06-02 12:53:07 CEST,-4.464981667,48.330511667,16.238,30.99119
2019-06-02 12:53:45 CEST,-4.464981667,48.330511667,16.273,30.99880
2019-06-02 12:54:24 CEST,0,0,16.289,30.99119
2019-06-02 12:55:01 CEST,0,0,16.286,30.98358
2019-06-02 12:55:39 CEST,0,0,16.291,30.98358
2019-06-02 12:56:23 CEST,-4.466845000,48.330251667,16.312,31.05207
2019-06-02 12:57:01 CEST,-4.467876667,48.330195000,16.369,31.18908
2019-06-02 12:57:39 CEST,-4.467876667,48.330195000,16.382,31.15863
2019-06-02 12:58:17 CEST,-4.468721667,48.330048333,16.389,31.14341
2019-06-02 12:58:56 CEST,-4.468721667,48.330048333,16.384,31.21191
2019-06-02 12:59:33 CEST,-4.469446667,48.329998333,16.383,31.23475
2019-06-02 13:00:12 CEST,0,0,16.360,30.89986
2019-06-02 13:00:50 CEST,0,0,16.341,30.18467
2019-06-02 13:01:28 CEST,-4.470670000,48.330023333,16.381,31.31087
2019-06-02 13:02:06 CEST,-4.472220000,48.330190000,16.426,31.27281
2019-06-02 13:02:44 CEST,-4.472220000,48.330190000,16.268,31.16624
2019-06-02 13:03:22 CEST,-4.473633333,48.330485000,16.210,31.16624
2019-06-02 13:04:01 CEST,-4.474310000,48.330751667,16.532,31.37177
2019-06-02 13:04:39 CEST,-4.474310000,48.330751667,16.534,31.40222
2019-06-02 13:05:17 CEST,-4.475341667,48.330958333,16.319,31.27281
2019-06-02 13:05:56 CEST,-4.475341667,48.330958333,16.298,31.24236
2019-06-02 13:06:34 CEST,0,0,16.167,31.22714
2019-06-02 13:07:12 CEST,-4.476945000,48.331146667,16.134,31.19669
2019-06-02 13:07:50 CEST,-4.476945000,48.331146667,16.133,31.21191
2019-06-02 13:08:32 CEST,-4.478010000,48.331188333,16.128,31.18147
2019-06-02 13:09:54 CEST,-4.478993333,48.331375000,16.150,31.18908
2019-06-02 13:10:31 CEST,-4.479958333,48.331421667,16.187,31.21952
2019-06-02 13:11:10 CEST,-4.480780000,48.331720000,16.228,31.24997
2019-06-02 13:11:47 CEST,-4.480780000,48.331720000,16.260,31.28042
2019-06-02 13:12:29 CEST,-4.481976667,48.331971667,16.310,31.31087
2019-06-02 13:13:07 CEST,-4.482803333,48.332096667,16.368,31.33371
2019-06-02 13:13:45 CEST,-4.482803333,48.332096667,16.515,31.35655
2019-06-02 13:14:23 CEST,0,0,16.540,31.33371
2019-06-02 13:15:01 CEST,-4.484293333,48.332593333,16.553,31.36416
2019-06-02 13:15:39 CEST,-4.484293333,48.332593333,16.538,31.38700
2019-06-02 13:16:18 CEST,-4.485821667,48.333095000,16.548,31.37939
2019-06-02 13:16:56 CEST,-4.485821667,48.333095000,16.546,31.21952
2019-06-02 13:17:34 CEST,-4.486663333,48.333133333,16.393,31.31087
2019-06-02 13:18:12 CEST,0,0,16.381,31.33371
2019-06-02 13:18:50 CEST,0,0,16.399,31.30326
2019-06-02 13:19:29 CEST,0,0,16.401,31.35655
2019-06-02 13:21:33 CEST,0,0,16.363,31.31087
2019-06-02 13:22:54 CEST,-4.489508333,48.333910000,16.343,31.32609
2019-06-02 13:23:32 CEST,-4.490380000,48.334055000,16.335,31.28803
2019-06-02 13:24:14 CEST,0,0,16.333,31.28042
2019-06-02 13:24:56 CEST,0,0,16.325,31.29565
2019-06-02 13:25:33 CEST,-4.491188333,48.334388333,16.331,31.11296
2019-06-02 13:26:12 CEST,-4.492203333,48.334593333,16.312,31.32609
2019-06-02 13:26:50 CEST,-4.492203333,48.334593333,16.294,31.32609
2019-06-02 13:27:29 CEST,-4.492795000,48.334818333,16.288,31.33371
